,Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
56,78,Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000
57,79,Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000
58,80,Mahindra XUV500,Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
59,81,Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000
60,82,Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
61,83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
62,84,Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000
63,85,Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
64,86,Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000
65,87,Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000
66,89,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000
67,90,Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
68,91,Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
69,92,Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
70,93,Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
71,94,Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
72,95,Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000
73,96,Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000
74,97,Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
75,98,Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000
76,99,Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000
77,100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000
78,101,Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
79,102,Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
80,103,Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
81,104,Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
82,105,Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
83,106,Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
84,107,Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000
85,109,Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
86,110,Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
87,111,Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
88,113,Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
89,114,Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
90,115,Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
91,116,Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
92,117,Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
93,118,Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
94,119,Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
95,120,Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
96,121,Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
97,122,Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
98,123,Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
99,124,Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
100,126,Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
101,127,Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
102,128,Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
103,130,Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
104,132,Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
105,133,Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000
106,134,Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
107,135,Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
108,136,Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
109,137,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
110,138,Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000
111,139,BMW 5,BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
112,141,Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000
113,142,Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
114,143,Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
115,144,Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000
116,145,Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
117,147,Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000
118,148,Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000
119,150,Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
120,151,Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
121,152,Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
122,153,Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000
123,154,Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
124,155,Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
125,156,Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
126,157,Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
127,158,Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
128,161,Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
129,164,Ford Endeavour,Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000
130,165,Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
131,166,Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000
132,168,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000
133,169,Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
134,170,Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
135,171,Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
136,172,Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
137,173,Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
138,176,Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
139,178,BMW 3,BMW,3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2090000
140,180,Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
141,182,Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
142,186,Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000
143,189,Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
144,190,Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000
145,191,Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
146,193,Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000
147,195,Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
148,196,Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000
149,197,Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
150,198,Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
151,199,Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000
152,200,Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000
153,201,Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
154,202,Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
155,203,Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000
156,207,Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000
157,208,Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
158,209,Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
159,210,Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
160,211,Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
161,214,Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000
162,215,Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
163,216,Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
164,217,Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
165,220,Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
166,221,Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
167,222,Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000
168,223,Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000
169,224,Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
170,225,Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000
171,226,Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
172,227,Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
173,228,Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
174,229,Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
175,230,Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
176,231,Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
177,232,Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
178,233,Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
179,236,Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
180,237,Maruti Swift,Maruti,Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
181,238,Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000
182,239,Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
183,241,Honda City,Honda,City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000
184,242,Toyota Fortuner,Toyota,Fortuner,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
185,243,Honda City,Honda,City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
186,244,Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
187,246,Renault KWID,Renault,KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000
188,247,Maruti Alto,Maruti,Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
189,248,Datsun GO,Datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
190,250,Hyundai Grand,Hyundai,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
191,252,Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
192,254,Honda City,Honda,City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
193,256,Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
194,258,Maruti Wagon R,Maruti,Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
195,259,Maruti Ciaz,Maruti,Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
196,260,Maruti Alto,Maruti,Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
197,261,Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
198,262,Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
199,263,Hyundai i20,Hyundai,i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
200,264,Mahindra Scorpio,Mahindra,Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
201,265,Maruti Alto,Maruti,Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
202,266,Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
203,269,Toyota Fortuner,Toyota,Fortuner,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
204,270,Hyundai Santro,Hyundai,Santro,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
205,271,Mahindra Scorpio,Mahindra,Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000
206,272,Audi A4,Audi,A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,1851000
207,273,Honda City,Honda,City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
208,274,Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
209,275,Maruti Swift Dzire,Maruti,Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000
210,276,Mahindra Thar,Mahindra,Thar,3,25000,Individual,Diesel,Manual,16.55,2498,105.0,6,870000
211,277,Renault KWID,Renault,KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
212,278,Tata Tiago,Tata,Tiago,4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,370000
213,279,Maruti Swift,Maruti,Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
214,281,Renault KWID,Renault,KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
215,282,Ford Ecosport,Ford,Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
216,283,Ford Aspire,Ford,Aspire,6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,390000
217,285,Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000
218,286,Mahindra XUV500,Mahindra,XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
219,287,Hyundai Verna,Hyundai,Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
220,288,Mahindra XUV500,Mahindra,XUV500,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000
221,289,Maruti Alto,Maruti,Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
222,290,Honda City,Honda,City,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000
223,291,Maruti Vitara,Maruti,Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
224,292,Volkswagen Polo,Volkswagen,Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
225,293,Tata Hexa,Tata,Hexa,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
226,294,Ford Figo,Ford,Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000
227,295,Hyundai Verna,Hyundai,Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
228,297,Ford Ecosport,Ford,Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
229,298,Hyundai Verna,Hyundai,Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
230,299,Hyundai i20,Hyundai,i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
231,300,Toyota Innova,Toyota,Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
232,301,Hyundai Grand,Hyundai,Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000
233,305,Volkswagen Polo,Volkswagen,Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
234,306,Hyundai i20,Hyundai,i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
235,308,Maruti Wagon R,Maruti,Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
236,309,Renault Duster,Renault,Duster,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
237,310,Honda City,Honda,City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
238,311,Renault Duster,Renault,Duster,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
239,313,Maruti Swift,Maruti,Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
240,314,Land Rover Rover,Land Rover,Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5,2890000
241,315,Hyundai i10,Hyundai,i10,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
